mention_id	entity_id
227508_3	MESH:D009270
227508_4	MESH:D003000
227508_5	MESH:D006973
227508_6	MESH:D003000
227508_8	MESH:D007022
227508_9	MESH:D008750
227508_10	MESH:D009270
227508_11	MESH:D009270
227508_12	MESH:D006973
227508_13	MESH:D003000
227508_15	MESH:D009270
227508_16	MESH:D003000
227508_18	MESH:D006973
227508_19	MESH:D009270
227508_20	MESH:D003000
227508_21	MESH:D003000
227508_22	MESH:D008750
354896_28	MESH:D008012
354896_29	MESH:D006323
354896_30	MESH:D008012
354896_31	MESH:D003866
354896_32	MESH:D001919
354896_33	MESH:D008012
435349_40	MESH:D013390
435349_41	MESH:D005207
435349_42	MESH:D013390
435349_43	MESH:D013390
435349_44	MESH:D013746
435349_45	MESH:D013390
435349_46	MESH:D005207
435349_47	MESH:D005207
435349_48	MESH:D005207
435349_49	MESH:D013746
435349_50	MESH:D013746
435349_51	MESH:D005207
435349_52	MESH:D005207
435349_53	MESH:D005207
603022_85	MESH:D005702
603022_86	MESH:D012601
603022_87	MESH:D012601
603022_88	MESH:D005702
603022_89	MESH:D012601
603022_90	MESH:D012601
603022_91	MESH:D062787
603022_92	MESH:D010830
603022_93	MESH:D012601
1378968_102	MESH:D008094
1378968_103	MESH:D007676
1378968_104	MESH:D008094
1378968_105	MESH:D007674
1378968_106	MESH:D051437
1378968_107	MESH:D008094
1378968_108	MESH:D008094
1378968_109	MESH:D008094
1378968_110	MESH:D008094
1378968_111	MESH:D008094
1378968_112	MESH:D008094
1378968_113	MESH:D008094
1378968_114	MESH:D008094
1378968_115	MESH:D008094
1378968_116	MESH:D011507
1378968_117	MESH:D006973
1378968_118	MESH:D005921
1378968_119	MESH:D051437
1378968_120	MESH:D003404
1378968_121	MESH:D008094
1378968_122	MESH:D008094
1378968_123	MESH:D008094
1378968_124	MESH:D007674
1378968_125	MESH:D011507
1378968_126	MESH:D006973
1378968_127	MESH:D007676
1420741_215	MESH:D003424
1420741_216	MESH:D005672
1420741_217	MESH:D016572
1420741_218	MESH:D016572
1420741_219	MESH:D003424
1420741_220	MESH:D005672
1420741_221	MESH:D003424
1420741_222	MESH:D005672
1420741_223	MESH:D005672
1420741_224	MESH:D009325
1420741_225	MESH:D005672
1420741_226	MESH:D003424
1420741_227	MESH:D005672
1420741_228	MESH:D015212
