mention_id	entity_id
10095983_10095983_e_0	MESH:D009765
10095983_10095983_e_1	MESH:D015431
10095983_10095983_e_2	MESH:D009765
10095983_10095983_e_3	MESH:D008286
10095983_10095983_e_4	MESH:D003924
10095983_10095983_e_5	MESH:D006973
10095983_10095983_e_6	MESH:D012891
10095983_10095983_e_7	MESH:D009765
10095983_10095983_e_8	MESH:D009765
10095983_10095983_e_9	MESH:D009765
10095983_10095983_e_10	MESH:D000077403
10095983_10095983_e_11	MESH:614338
10095983_10095983_e_12	MESH:D002784
10095983_10095983_e_13	MESH:D015431
10095983_10095983_e_14	MESH:D015431
10095983_10095983_e_15	MESH:D005947
10095983_10095983_e_16	3630
10095983_10095983_e_17	MESH:D009765
10095983_10095983_e_18	MESH:D003924
10226872_10226872_e_0	MESH:D004205
10226872_10226872_e_1	MESH:D013726
10226872_10226872_e_2	154
10226872_10226872_e_3	154
10226872_10226872_e_4	MESH:D013726
10226872_10226872_e_5	154
10226872_10226872_e_6	MESH:D007665
10226872_10226872_e_7	MESH:D004205
10226872_10226872_e_8	MESH:D013726
10226872_10226872_e_9	MESH:D004205
10226872_10226872_e_10	MESH:D013726
10226872_10226872_e_11	154
10226872_10226872_e_12	MESH:D007022
10226872_10226872_e_13	MESH:D007545
10226872_10226872_e_14	153
10226872_10226872_e_15	MESH:D013610
10226872_10226872_e_16	154
10226872_10226872_e_17	MESH:D013726
10226872_10226872_e_18	MESH:D007545
10226872_10226872_e_19	MESH:D013610
10226872_10226872_e_20	MESH:D007545
10226872_10226872_e_21	MESH:D007022
10226872_10226872_e_22	MESH:D013610
10226872_10226872_e_23	MESH:D004205
10226872_10226872_e_24	154
10226872_10226872_e_25	153
10226872_10226872_e_26	MESH:D013610
10226872_10226872_e_27	MESH:D013726
10226872_10226872_e_28	MESH:D013726
10226872_10226872_e_29	154
10226872_10226872_e_30	MESH:D004205
10226872_10226872_e_31	154
10226872_10226872_e_32	154
10226872_10226872_e_33	MESH:D007665
10226872_10226872_e_34	MESH:D004205
10373451_10373451_e_1	MESH:D006152
10373451_10373451_e_2	10846
10373451_10373451_e_3	10846
10373451_10373451_e_4	MESH:D006152
10373451_10373451_e_5	10846
10373451_10373451_e_7	MESH:D006152
10373451_10373451_e_8	MESH:D006152
10373451_10373451_e_10	MESH:D004176
10373451_10373451_e_12	MESH:D006152
10373451_10373451_e_13	MESH:D006152
10373451_10373451_e_16	MESH:D006152
10373451_10373451_e_17	10846
10373451_10373451_e_20	MESH:D006152
10373451_10373451_e_21	10846
10373451_10373451_e_22	MESH:D013959
10373451_10373451_e_23	10846
10373451_10373451_e_24	10846
10381812_10381812_e_0	773
10381812_10381812_e_1	147
10381812_10381812_e_2	773
10381812_10381812_e_3	147
10381812_10381812_e_4	148
10381812_10381812_e_5	MESH:C094643
10381812_10381812_e_6	MESH:D009841
10381812_10381812_e_7	773
10381812_10381812_e_8	MESH:D009278
10485483_10485483_e_0	5743
10485483_10485483_e_1	MESH:C562463
10485483_10485483_e_2	4513
10485483_10485483_e_3	MESH:D010190
10485483_10485483_e_4	MESH:D009369
10485483_10485483_e_5	4513
10485483_10485483_e_6	MESH:C562463
10485483_10485483_e_7	4513
10485483_10485483_e_8	MESH:D002277
10485483_10485483_e_9	4513
10485483_10485483_e_10	MESH:C562463
10485483_10485483_e_11	4512
10485483_10485483_e_12	4513
10485483_10485483_e_13	4513
10485483_10485483_e_14	MESH:D009369
10485483_10485483_e_15	4513
10485483_10485483_e_16	1950
10485483_10485483_e_17	MESH:C025462
10485483_10485483_e_18	MESH:C080955
10485483_10485483_e_19	MESH:D010195
10485483_10485483_e_20	4513
10485483_10485483_e_21	4512
10485483_10485483_e_22	MESH:C025462
10485483_10485483_e_23	MESH:C080955
10485483_10485483_e_24	4513
10485483_10485483_e_25	4513
10485483_10485483_e_26	MESH:D010190
10485483_10485483_e_27	MESH:C562463
10531013_10531013_e_0	MESH:D002110
10531013_10531013_e_1	472
10531013_10531013_e_2	MESH:D009369
10531013_10531013_e_3	MESH:D002110
10531013_10531013_e_4	MESH:D002110
10531013_10531013_e_5	MESH:D002110
10531013_10531013_e_6	MESH:D002110
10531013_10531013_e_7	1040
10531013_10531013_e_8	11200
10531013_10531013_e_9	MESH:D002110
10531013_10531013_e_10	472
10531013_10531013_e_11	MESH:D002110
10531013_10531013_e_12	472
10531013_10531013_e_13	MESH:D002110
10548525_10548525_e_0	5468
10548525_10548525_e_1	MESH:D000077154
10548525_10548525_e_2	MESH:D045162
10548525_10548525_e_3	MESH:D000077154
10548525_10548525_e_4	MESH:D000077154
10548525_10548525_e_5	7351
10548525_10548525_e_6	3643
10548525_10548525_e_7	3667
10548525_10548525_e_8	6517
10548525_10548525_e_9	4023
10548525_10548525_e_10	376497
10548525_10548525_e_11	7453
10548525_10548525_e_12	MESH:D000077154
10548525_10548525_e_13	6256
10548525_10548525_e_14	5468
10548525_10548525_e_15	MESH:D000077154
10548525_10548525_e_16	7351
10548525_10548525_e_17	6517
10548525_10548525_e_18	MESH:D007333
10548525_10548525_e_19	3630
10548525_10548525_e_20	MESH:D045162
10561751_10561751_e_0	MESH:D007674
10561751_10561751_e_1	MESH:D007674
10561751_10561751_e_2	1184
10561751_10561751_e_3	MESH:C538212
10561751_10561751_e_4	MESH:D011507
10561751_10561751_e_5	MESH:D053565
10561751_10561751_e_6	MESH:D053040
10561751_10561751_e_7	MESH:D051437
10561751_10561751_e_8	1188
10561751_10561751_e_9	MESH:D001477
10561751_10561751_e_10	MESH:D001477
10561751_10561751_e_11	6557
10561751_10561751_e_12	3758
10561751_10561751_e_13	6559
10561751_10561751_e_14	MESH:D053579
10653606_10653606_e_0	5319
10653606_10653606_e_1	5742
10653606_10653606_e_2	5743
10653606_10653606_e_3	5319
10653606_10653606_e_4	1351
10653606_10653606_e_5	1351
10653606_10653606_e_6	MESH:D013936
10653606_10653606_e_7	MESH:D013431
10653606_10653606_e_8	4512
10653606_10653606_e_9	4513
10653606_10653606_e_10	1351
10653606_10653606_e_11	MESH:D000077185
10653606_10653606_e_12	4512
10653606_10653606_e_13	MESH:C080955
10653606_10653606_e_14	4513
10653606_10653606_e_15	MESH:D007213
10653606_10653606_e_16	1351
10653606_10653606_e_17	4512
10653606_10653606_e_18	4513
10653606_10653606_e_19	4512
10653606_10653606_e_20	4512
10653606_10653606_e_21	MESH:D011796
10653606_10653606_e_22	MESH:D000077185
10653606_10653606_e_23	MESH:D011796
10653606_10653606_e_24	MESH:D016718
10653606_10653606_e_25	MESH:D015289
10662748_10662748_e_0	MESH:D003645
10662748_10662748_e_1	MESH:D002037
10662748_10662748_e_2	6331
