mention_id	entity_id
10471277_2	MESH:D000068299
10471277_4	MESH:D000526
10471277_5	MESH:D016244
10471277_7	MESH:C029987
10471277_9	MESH:D009532
10471277_14	MESH:D000068299
10471277_16	MESH:D000068299
10471277_19	MESH:D000068299
10471277_21	MESH:D000068299
10471277_22	MESH:C121355
10471277_27	MESH:D000068299
10471277_28	MESH:D001386
10471277_32	MESH:C121355
10471277_33	135
10471277_34	135
10471277_35	2159
10471277_36	135
10471277_37	154
10471277_39	135
10471277_40	154
10471277_41	MESH:D000068299
23150485_57	MESH:D010716
23150485_58	9429
23150485_61	5617
23150485_64	9429
23150485_65	5617
23150485_66	6776
23150485_68	3717
23150485_69	6776
23150485_70	9429
23150485_71	5617
23150485_73	5617
23150485_74	5617
23150485_75	9429
23150485_76	5617
23150485_77	9429
23150485_78	9429
23150485_80	3717
23150485_81	3717
23150485_82	6776
23150485_83	6776
23150485_84	9429
23150485_85	5617
23150485_86	9429
23150485_87	3717
23150485_88	6776
23150485_89	5617
23150485_90	9429
23150485_91	5617
23150485_92	6776
23150485_94	9429
23150485_96	5617
23150485_98	9429
23155202_101	MESH:D019298
23155202_102	MESH:C031327
23155202_103	MESH:D005978
23155202_104	MESH:D005978
23155202_105	MESH:D000078102
23155202_106	MESH:D008315
23155202_107	MESH:D008315
23155202_108	MESH:D000077611
23155202_109	MESH:D000077611
23155202_110	MESH:D000077611
23155202_111	MESH:D000077611
23155202_112	MESH:D011136
23155202_113	MESH:D000077549
23155202_114	MESH:D000078102
23155202_115	MESH:D000077549
23155202_116	MESH:D000078102
23155202_117	MESH:C031327
23155202_118	MESH:D000077611
23155202_119	MESH:D000077549
23155202_120	MESH:D000077611
23155202_121	MESH:D005978
23155202_122	MESH:D000077549
23155202_123	MESH:D000078102
23155202_124	24377
23155202_125	24377
23155202_127	58962
23477624_138	MESH:C110051
23477624_139	MESH:C036020
23477624_140	MESH:C036020
23477624_143	MESH:D002118
23477624_145	MESH:D010758
23477624_146	MESH:D010758
23477624_150	MESH:D010758
23477624_152	1593
23477624_154	632
23477624_155	81681
23477624_159	1593
23477624_162	81681
23044094_166	MESH:C047723
23044094_168	MESH:D007660
23044094_170	MESH:D010129
23044094_171	MESH:D002746
23044094_172	MESH:D011398
23044094_173	MESH:D000166
23044094_174	MESH:D007052
23044094_175	MESH:D008730
23044094_176	MESH:D014212
23044094_177	MESH:D019344
23044094_180	MESH:C070243
23044094_183	3606
23044094_184	3606
23044094_185	3606
23044094_186	3606
23044094_187	3606
23044094_188	3606
23220749_191	MESH:D001058
23220749_192	MESH:D001058
23220749_193	MESH:D012701
23220749_194	MESH:D001058
23220749_195	MESH:D001058
23220749_196	MESH:D001058
23220749_197	MESH:D001058
23220749_198	MESH:D009020
23220749_199	MESH:D001058
23220749_200	MESH:D004298
23220749_201	MESH:D001058
23220749_202	MESH:D001058
23220749_203	MESH:D001058
23220749_204	312896
23220749_205	312896
23220749_206	8989
23220749_207	8989
23220749_209	83810
23220749_210	29465
23220749_211	497948
23220749_212	63873
23220749_213	79054
23220749_214	309407
23220749_215	7226
23220749_216	8989
23220749_217	8989
23220749_218	8989
9950599_228	MESH:D003065
9950599_229	MESH:D009243
9950599_230	MESH:D006861
9950599_231	MESH:D006861
9950599_232	MESH:D006861
9950599_233	MESH:D009243
9950599_234	MESH:D009243
9950599_235	MESH:D005973
9950599_237	4538
9950599_238	4519
9950599_240	4538
9950599_241	4519
9950599_243	27063
23615073_247	MESH:D001205
23615073_248	MESH:D001205
23615073_249	MESH:D001205
23615073_250	MESH:D001205
23615073_251	MESH:D001205
23615073_252	MESH:D001205
23615073_253	MESH:D001205
23615073_254	MESH:D001205
23615073_255	19696
