mention_id	entity_id
17003041_DS.d0.s0.e1	MESH:D002712
17003041_DS.d0.s1.e0	MESH:D002712
17003041_DS.d0.s1.e1	MESH:D000255
17321121_DS.d1.s0.e1	MESH:D006862
17403602_DS.d2.s0.e0	MESH:D012977
17590240_DS.d3.s0.e0	MESH:C045651
17590240_DS.d3.s1.e1	MESH:C045651
17590240_DS.d3.s1.e2	MESH:D010095
17616381_DS.d4.s0.e1	MESH:D064751
17616381_DS.d4.s0.e2	MESH:D013431
17629591_DS.d5.s0.e3	MESH:D003907
17692997_DS.d6.s0.e0	MESH:D004229
17719144_DS.d7.s0.e2	MESH:D002784
17719144_DS.d7.s0.e3	MESH:D024502
17719144_DS.d7.s1.e2	MESH:D024502
17719144_DS.d7.s2.e1	MESH:D002784
17719144_DS.d7.s2.e2	MESH:D024502
17768029_DS.d8.s0.e0	MESH:D000496
17882129_DS.d9.s0.e0	MESH:D024502
17888544_DS.d10.s0.e0	MESH:D002784
17888546_DS.d11.s0.e1	MESH:D002784
17888546_DS.d11.s0.e2	MESH:C007042
17888546_DS.d11.s0.e3	MESH:D002784
17890844_DS.d12.s0.e0	MESH:C038459
17890844_DS.d12.s0.e1	MESH:C038459
17925795_DS.d13.s0.e0	MESH:D008094
17925795_DS.d13.s0.e1	MESH:D014635
17925795_DS.d13.s1.e0	MESH:D018021
17925795_DS.d13.s2.e0	MESH:D008094
17925795_DS.d13.s3.e0	MESH:D020148
17925795_DS.d13.s3.e1	MESH:C012589
17925795_DS.d13.s4.e1	MESH:D008094
17941873_DS.d14.s0.e1	MESH:D008687
17941873_DS.d14.s0.e2	MESH:D000077205
17941873_DS.d14.s1.e2	MESH:D008687
17941873_DS.d14.s1.e3	MESH:D000077205
17943458_DS.d15.s0.e0	MESH:C000179
17943458_DS.d15.s0.e1	MESH:D001224
17943458_DS.d15.s0.e2	MESH:D000085
17950491_DS.d16.s0.e0	MESH:D000077154
17965987_DS.d17.s0.e1	MESH:D006719
17965987_DS.d17.s0.e2	MESH:D008734
17965987_DS.d17.s1.e1	MESH:D018967
17968352_DS.d18.s0.e1	MESH:D015283
17968676_DS.d19.s0.e2	MESH:D016718
17976762_DS.d20.s0.e2	MESH:D015282
18037312_DS.d21.s0.e0	MESH:D002104
18042181_DS.d22.s0.e1	MESH:D005978
18042181_DS.d22.s1.e0	MESH:D005978
18061671_DS.d23.s0.e0	MESH:D001205
18061671_DS.d23.s0.e3	MESH:C011083
18068270_DS.d24.s0.e0	MESH:D000535
18068270_DS.d24.s1.e1	MESH:D003300
18068871_DS.d25.s0.e1	MESH:D016202
18068871_DS.d25.s1.e1	MESH:C092280
18077014_DS.d26.s0.e2	MESH:D013095
18077014_DS.d26.s0.e3	MESH:D013096
18077014_DS.d26.s0.e4	MESH:D011700
18079026_DS.d27.s0.e0	MESH:D000069348
18079026_DS.d27.s1.e0	MESH:D000069348
18079026_DS.d27.s2.e0	MESH:D000069348
18162361_DS.d28.s0.e0	MESH:D000068718
18162361_DS.d28.s1.e0	MESH:D000068718
18164165_DS.d29.s0.e2	MESH:D008315
18164165_DS.d29.s0.e3	MESH:D019207
18164165_DS.d29.s0.e4	MESH:D014801
18164165_DS.d29.s0.e5	MESH:D001205
18164165_DS.d29.s0.e6	MESH:D014810
18164165_DS.d29.s0.e7	MESH:D005978
18172601_DS.d30.s0.e1	MESH:C011559
18172601_DS.d30.s0.e2	MESH:D010100
18172601_DS.d30.s0.e3	MESH:D009584
18177531_DS.d31.s0.e0	MESH:D002248
18179560_DS.d32.s0.e1	MESH:D006820
18180755_DS.d33.s0.e2	MESH:D006854
18190985_DS.d34.s0.e2	MESH:D002784
18191451_DS.d35.s0.e1	MESH:D007531
18195714_DS.d36.s0.e0	MESH:D008070
18195714_DS.d36.s1.e0	MESH:D008070
18195714_DS.d36.s2.e0	MESH:D007737
18195714_DS.d36.s2.e1	MESH:D014364
18198986_DS.d37.s0.e1	MESH:D011345
18198986_DS.d37.s1.e1	MESH:D011345
18198986_DS.d37.s2.e1	MESH:C038459
18198997_DS.d38.s0.e0	MESH:D020148
18198997_DS.d38.s1.e0	MESH:D020148
18198997_DS.d38.s2.e0	MESH:D020148
18198997_DS.d38.s3.e0	MESH:D020148
18204887_DS.d39.s0.e1	MESH:D006710
18205042_DS.d40.s0.e0	MESH:D003022
18207583_DS.d41.s0.e2	MESH:D005643
18221806_DS.d42.s0.e0	MESH:D019821
18222543_DS.d44.s0.e0	MESH:D015127
18222543_DS.d44.s0.e7	MESH:D005978
18222543_DS.d44.s0.e8	MESH:D005978
18226951_DS.d45.s0.e0	MESH:D007980
18226951_DS.d45.s0.e1	MESH:D007980
18227836_DS.d46.s0.e2	MESH:D000661
18227836_DS.d46.s0.e3	MESH:D000249
18227836_DS.d46.s0.e4	MESH:D001058
18227836_DS.d46.s0.e5	MESH:D010622
18227838_DS.d47.s0.e0	MESH:D008094
18227838_DS.d47.s0.e1	MESH:D014635
18227970_DS.d48.s0.e1	MESH:D008239
18228136_DS.d49.s0.e0	MESH:C406431
18228136_DS.d49.s1.e4	MESH:C406431
18228136_DS.d49.s2.e0	MESH:C406431
18230627_DS.d50.s0.e1	MESH:D008727
18243311_DS.d51.s0.e1	MESH:D000255
18243311_DS.d51.s0.e2	MESH:D010100
18243311_DS.d51.s0.e3	MESH:D009584
18243368_DS.d52.s0.e0	MESH:D002762
18243368_DS.d52.s1.e0	MESH:D002762
18243368_DS.d52.s2.e1	MESH:D002762
18248398_DS.d53.s0.e1	MESH:D008550
18249383_DS.d54.s0.e1	MESH:C027385
18249399_DS.d55.s0.e1	MESH:D004958
18253697_DS.d57.s0.e1	MESH:D015735
18256928_DS.d58.s0.e0	MESH:D008687
18256928_DS.d58.s1.e0	MESH:D008687
18256928_DS.d58.s2.e0	MESH:D008687
18256928_DS.d58.s3.e0	MESH:D008687
18260130_DS.d59.s0.e9	MESH:C007685
18260130_DS.d59.s0.e10	MESH:D019904
18260130_DS.d59.s0.e11	MESH:C005044
18260130_DS.d59.s0.e12	MESH:C042670
18260130_DS.d59.s0.e13	MESH:D020058
18262559_DS.d60.s0.e1	MESH:D010100
18262738_DS.d61.s0.e4	MESH:C070515
