mention_id	entity_id
Adenosine_ddi_Adenosine_ddi_T1	MESH:D000241
Adenosine_ddi_Adenosine_ddi_T2	MESH:D000241
Adenosine_ddi_Adenosine_ddi_T3	MESH:D011802
Adenosine_ddi_Adenosine_ddi_T4	MESH:D000319
Adenosine_ddi_Adenosine_ddi_T6	MESH:D000806
Adenosine_ddi_Adenosine_ddi_T7	MESH:D004077
Adenosine_ddi_Adenosine_ddi_T8	MESH:D014700
Adenosine_ddi_Adenosine_ddi_T9	MESH:D000241
Adenosine_ddi_Adenosine_ddi_T10	MESH:D000241
Adenosine_ddi_Adenosine_ddi_T11	MESH:D000241
Adenosine_ddi_Adenosine_ddi_T13	MESH:D000241
Adenosine_ddi_Adenosine_ddi_T15	MESH:D002110
Adenosine_ddi_Adenosine_ddi_T16	MESH:D013806
Adenosine_ddi_Adenosine_ddi_T18	MESH:D000241
Adenosine_ddi_Adenosine_ddi_T19	MESH:D000241
Adenosine_ddi_Adenosine_ddi_T20	MESH:D000241
Adenosine_ddi_Adenosine_ddi_T21	MESH:D004176
Adenosine_ddi_Adenosine_ddi_T22	MESH:D000241
Adenosine_ddi_Adenosine_ddi_T23	MESH:D004176
Adenosine_ddi_Adenosine_ddi_T24	MESH:D002220
Adenosine_ddi_Adenosine_ddi_T25	MESH:D000241
Adenosine_ddi_Adenosine_ddi_T26	MESH:D002220
Azacitidine_ddi_Azacitidine_ddi_T1	MESH:D001374
Fenofibrate_ddi_Fenofibrate_ddi_T1	MESH:D000925
Fenofibrate_ddi_Fenofibrate_ddi_T3	MESH:D011345
Fenofibrate_ddi_Fenofibrate_ddi_T4	MESH:D000925
Fenofibrate_ddi_Fenofibrate_ddi_T5	MESH:D019161
Fenofibrate_ddi_Fenofibrate_ddi_T6	MESH:D011345
Fenofibrate_ddi_Fenofibrate_ddi_T7	MESH:D019161
Fenofibrate_ddi_Fenofibrate_ddi_T10	MESH:D011345
Fenofibrate_ddi_Fenofibrate_ddi_T12	MESH:D016572
Fenofibrate_ddi_Fenofibrate_ddi_T13	MESH:D016572
Fenofibrate_ddi_Fenofibrate_ddi_T15	MESH:D011345
Fenofibrate_ddi_Fenofibrate_ddi_T16	MESH:D011345
Fenofibrate_ddi_Fenofibrate_ddi_T17	MESH:D007166
Fenofibrate_ddi_Fenofibrate_ddi_T18	MESH:D011345
